cell_type,symbol,reference,ensembl,comments
Crypt cell,LGR5,,,
Crypt cell,SMOC2,,,
Crypt cell,ASCL2,,,
TA progenitor,OLFM4,,,
TA progenitor,TOP2A,,,
TA progenitor,UBE2C,,,
TA progenitor,PCLAF,,,
TA progenitor,HELLS,,,
TA progenitor,TK1,,,
Colonocyte,FABP1,Becker,,Colonocyte (colon) equivalent to Enterocyte (small intestine)
Colonocyte,CEACAM7,,,
Colonocyte,ANPEP,,,
Colonocyte,SI,,,
Colonocyte BEST4,BEST4,,,
Colonocyte BEST4,OTOP2,,,
Colonocyte BEST4,SPIB,,,Expression in Tuft
Goblet,MUC2,,,
Goblet,FCGBP,,,
Goblet,ZG16,,,
Goblet,ATOH1,,,
Tuft,IRAG2,,,
Tuft,SH2D6,,,
Tuft,ALOX5AP,,,
Tuft,AVIL,,,
Enteroendocrine,PCSK1N,,,Rather low expression + expressed also in other cell types
Enteroendocrine,FEV,,,
Enteroendocrine,SCGN,,,
Enteroendocrine,NEUROD1,,,
Enteroendocrine,SCG5,,,
Enteroendocrine,CHGA,,,
Enteroendocrine,CPE,,,
Dividing,MKI67,,,
Dividing,CDK1,,,
Cancer cell,EPCAM,,,
Cancer cell,ELF3,,,
Cancer cell,KRT8,,,
Cancer cell,KRT18,,,
Cancer cell,KRT19,,,
Schwann cell,S100B,,,
Schwann cell,CDH19,,,
Schwann cell,PLP1,,,
Schwann cell,MPZ,,,
Schwann cell,NCAM1,,,
Pericyte,NDUFA4L2,,,
Pericyte,RGS5,,,
Pericyte,CSPG4,,,
Pericyte,PDGFRB,,,
Pan-Endothelial,PECAM1,,,
Pan-Endothelial,CDH5,,,
Pan-Endothelial,VWF,,,
Pan-Endothelial,KDR,,,
Pan-Endothelial,FLT1,,,
Endothelial lymphatic,PROX1,,,
Endothelial venous,ACKR1,,,
Endothelial venous,APLNR,,,
Endothelial venous,NR2F2,,,
Endothelial venous,PLA1A,,,
Endothelial arterial,HEY1,,,
Endothelial arterial,GJA4,,,
Endothelial arterial,GJA5,,,
Endothelial arterial,SEMA3G,,,
Pan-Fibroblast,COL1A1,,,
Pan-Fibroblast,COL1A2,,,
Pan-Fibroblast,COL3A1,,,
Pan-Fibroblast,PDGFRA,,,
Fibroblast S1,ADAMDEC1,,,
Fibroblast S1,FABP5,,,
Fibroblast S1,APOE,,,
Fibroblast S2,F3,,,(Myofibroblast?)
Fibroblast S2,AGT,,,
Fibroblast S2,NRG1,,,
Fibroblast S2,SOX6,,,
Fibroblast S2,FRZB,,,
Fibroblast S3,C7,,,
Fibroblast S3,ASPN,,,
Fibroblast S3,CCDC80,,,
Fibroblast S3,GREM1,,,
Fibroblastic reticular cell,PDPN,,,
Fibroblastic reticular cell,CCL21,,,
Fibroblastic reticular cell,CCL19,,,
iCAF,MMP3,,,
iCAF,MMP1,,,
iCAF,CXCL8,,,
iCAF,CXCL1,,,
myCAF,GREM1,,,
myCAF,FRZB,,,
myCAF,ACTA2,,,
DC mature,CCL22,,,
DC mature,CCR7,,,
DC mature,LAMP3,,,
pDC,CLEC4C,,,
pDC,TCF4,,,
pDC,CCDC50,,,
pDC,ITM2C,,,
cDC1,CLEC9A,,,
cDC1,XCR1,,,
cDC1,CLNK,,,
cDC2,CD1C,,,
cDC2,CLEC10A,,,
Granulocyte progenitor,CD24,,,
Granulocyte progenitor,CEACAM8,,,
Granulocyte progenitor,ITGAM,,,
Granulocyte progenitor,ARG1,,,
Eosinophil,CLC,,,
Eosinophil,CCR3,,,
Neutrophil,CXCR2,,,
Neutrophil,FCGR3B,,,
Neutrophil,HCAR3,,,
Neutrophil,FFAR2,,,
Neutrophil,PROK2,,,
Mast cell,TPSB2,,,
Mast cell,CPA3,,,
Mast cell,TPSAB1,,,
Mast cell,GATA2,,,
Monocyte,VCAN,,,
Monocyte classical,CD14,,,
Monocyte classical,S100A12,,,
Monocyte non-classical,FCGR3A,,,
Monocyte non-classical,IFITM3,,,
Macrophage,C1QA,,,
Macrophage,C1QB,,,
Erythroid cell,HBB,,,
Erythroid cell,HBA1,,,
Erythroid cell,HBA2,,,
Pan-T cell,CD3E,,,
Pan-T cell,TRAC,,,
T cell CD4,CD4,,,
Treg,FOXP3,,,
Treg,IL2RA,,,
T cell CD8,CD8A,,,
T cell CD8,CD8B,,,
T cell stem-like,CCR7,,,
T cell stem-like,LEF1,,,
T cell stem-like,SELL,,,
T cell stem-like,IL7R,,,
T cell stem-like,IL2RG,,,
T cell stem-like,HLA-DRA,,,negative marker
MAIT,SLC4A10,,,
MAIT,CEBPD,,,
MAIT,ZBTB16,,,
MAIT,NCR3,,,
NK,NKG7,,,
NK,FCGR3A,,,
NK,TYROBP,,,
gamma-delta,TRDC,,,
gamma-delta,TRDV1,,,
gamma-delta,TRGC1,,,
gamma-delta,TRGC2,,,
ILC,ICOS,,,
ILC,IL4I1,,,
ILC,KIT,,,
ILC,LST1,,,
NKT,SLAMF1,,,
NKT,SLAMF6,,,
NKT,CD4,,,
NKT,CD8A,,,
NKT,CD28,,,
NKT,NKG7,,,
NKT,GZMA,,,
Pan-Plasma,JCHAIN,,,
Plasma IgA,IGHA1,,,
Plasma IgA,IGHA2,,,
Plasma IgG,IGHG1,,,
Plasma IgG,IGHG2,,,
Plasma IgG,IGHG3,,,
Plasma IgG,IGHG4,,,
Plasma IgM,IGHM,,,
Plasmablast,SDC1,,,
Plasmablast,XBP1,,,
Plasmablast,MZB1,,,
Plasmablast,BST2,,,
Plasmablast,FCRL5,,,
Plasmablast,SLAMF7,,,
Plasmablast,IRF4,,,
Plasmablast,PRDM1,,,
Plasmablast,ERN1,,,
Pan-B cell,CD79B,,,
Pan-B cell,CD19,,,
Pan-B cell,MS4A1,,,
B cell memory,TNFRSF13B,,,
B cell memory,CD27,,,
B cell naive,FCER2,,,
B cell naive,CD72,,,
B cell naive,IL4R,,,
B cell naive,FOS,,,
B cell naive,JUNB,,,
B cell naive,IER2,,,
B cell naive,CD69,,,
GC B cell,AICDA,,,
GC B cell,BCL6,,,
GC B cell,MME,,,
B cell follicular,IGHD,,,
B cell follicular,IGHM,,,
B cell follicular,FCER2,,,
B cell follicular,ADK,,,